Country,Cases_lm,Wuhan_airtravel,Wuhan_travel_14days
Australia,12,270,3780
Cambodia,1,82.5,1155
Canada,3,56.57142857,792
France,5,66.28571429,928
Germany,2,24.71428571,346
India,3,12.71428571,178
Indonesia,0,146.4285714,2050
Italy,2,50.85714286,712
Japan,17,408,5712
Malaysia,7,288.8571429,4044
Philippines,1,58,812
Singapore,18,184.8571429,2588
Rep  Korea,8,156.4285714,2190
Thailand,18,1061.428571,14860
UAE,5,104.2857143,1460
UK,1,48.21428571,675
US,9,173.7142857,2432
Vietnam,7,100.8571429,1412
Nepal,1,0,0
Sri Lanka,1,11.28571429,158
Finland,1,0,0
Russia,2,21.07142857,295
Sweden,0,0,0
Spain,0,14.42857143,202
New Zealand,0,47.35714286,663
Maldives,0,13.42857143,188
Bangladesh,0,8.714285714,122
Netherlands,0,6.5,91
Pakistan,0,6.857142857,96
Myanmar,0,16.85714286,236